Vendor Name,Vendor Code,PO Number,SBPO Order date,Expected Delivery Date,Payment Terms,Warehouse,Vendor PO Number,Vendor PO Order Date,Vendor Invoice number,Vendor Delivery Ref#,Vendor Invoice Date,Vendor Invoice Due Date,Vendor Invoice Status,Shipping Provider,Tracking link,Item SKU,Item Name,Qty,Rate,Discount %,Tax %,Tax Amount,SubTotal,Freight Charge,Surcharges,Comment
Unique Health Products,UHP,UHP-684374,18-Jul-25,18-Jul-25,,,684374,,999108,,,,,,,BA33,Bamboo Hair Brush Large Square Paddle,11,19.86,0,10,$19.66 ,$218.46 ,,0,
Unique Health Products,UHP,UHP-684374,18-Jul-25,18-Jul-25,,,684374,,999108,,,,,,,ANW82,Baptise H2O Ultra-Hydrating Water Gel MINI,24,7.65,0,10,$16.52 ,$183.60 ,,0,
Unique Health Products,UHP,UHP-684374,18-Jul-25,18-Jul-25,,,684374,,999108,,,,,,,BR07,Apple Cider Vinegar Unfiltered with The Mother,4,40.59,0,10,$14.61 ,$162.36 ,,0,
