Brand,SKU,Title,Subtitle,Description,Short Desc,Manufacturer,EAN,UPC,ISBN,MPN,Country of Origin,Condition,ASIN,FNSKU,FBA SKU,Is Taxable,FBA,Amazon Size,Barcode Label Type,Prep Type,Stock Status,Status,Publish,Warranty,Product Tags,Sales Price,Retail Price (RRP),Cost per Item,Product Margin %,Profit,Minimum Price,Maximum Price,Estimated Shipping Cost,Preferred Vendor,Vendor SKU,Colour,Size,Material,Compatibility,Height (cm),Width (cm),Depth (cm),Weight (kg),Fast Dispatch,Free Shipping,Is the product bulky?,International Note,Example Reference (optional),Ships from,Handling Time (days),SBAU,Local 3PL,China,USA,Parent SKU,Shipping Logic,Main Image
Antipodes,BA33,ANTIPODES Baptise H2O Ultra-Hydrating Water Gel MINI 15ml,,"Aqua (Water), Glycerine, Sodium Acrylates Copolymer & Lecithin, Dehydroacetic Acid, Benzyl Alcohol, Glyceryl Caprylate, Polysorbate 20, Hyaluronic Acid (Plant Based), Glycerine & Water & Terminalia Ferdinandiana (Kakadu Plum) Fruit Extract, Sodium Citrate, Lysolecithin & Sclerotium Gum & Xanthan Gum & Pullulan, Phormium Tenax (Harakeke) Flax Extract, Hibiscus Sabdariffa (Hibiscus) Flower Extract, Leptospermum Scoparium Mel (Manuka) Honey, Cyathea Medullaris (Mamaku Black Fern) Extract, Zingiber Officinale (Ginger) Root Extract, Aloe Barbadensis (Aloe Vera) Leaf Extract, Mica, Titanium Dioxide, Rose Anatolia: Citral?, Citronellol?, Eugenol?, Geraniol?, Linalool?. ?Component Of Essential Oil",,Antipodes,9.42E+12,9.42E+12,,ANW82,Australia,New,B0BZGSD4C8,X001B1H7LR,ANW82-UHP-FBA,TRUE,,,,,,Active,,,,43.88,49.95,28.38,0.08%,0.0368,43.88,56.85,6.32,Unique Health Products,JC10,,,,,117,37,28,0.026,No,FALSE,No,,,Australia,2,0,,,,,,https://www.uhp.com.au/media/import/customerimages/ANW82 COMBO.png
Bass,BA33,BASS Bamboo Hair Brush Large Square Paddle,,"Bamboo Handle, Bamboo Pins.",,Bass,7.36E+11,7.36E+11,,BA33,Australia,New,B003XW1EZM,X001B1HX11,BA33-UHP-FBA,TRUE,,,,,,Active,,,,55.97,64.95,40.59,4.82%,2.5727,55.97,79.99,4.27,Unique Health Products,BR07,,,,,255,90,42,0.115,No,FALSE,No,,,Australia,2,0,,,,,,https://www.uhp.com.au/media/import/customerimages/BA33.png
Bragg,BA33,BRAGG Apple Cider Vinegar Unfiltered with The Mother 3.8L,,Certified Organic Raw Apple Cider Vinegar.,,Bragg,74305011283,74305011283,,BR07,Australia,New,B000R71WMQ,X001B1H7DZ,BR07-UHP-FBA,TRUE,,,,,,Active,,,,31.37,31.95,18.15,-1.09%,-0.3444,31.37,44.84,6.8,Unique Health Products,EQ03,,,,,300,155,155,4.135,No,FALSE,No,,,Australia,2,0,,,,,,https://www.uhp.com.au/media/import/customerimages/BR07.png
Botanika Blends,BR07,BOTANIKA BLENDS Keto Creamer Original 300g,,"Coconut Milk Powder, Coconut Derived MCT Oil Powder, Probiotic Culture (Bacillus Coagulans).",,Botanika Blends,9.35E+12,9.35E+12,,BT98,Australia,New,B09283D6XK,X001B1MEFV,BT98-UHP-FBA,FALSE,,,,,,Active,,,,20.65,16.95,8.49,2.26%,0.4555,20.65,26.86,7.02,Unique Health Products,DC333,,,,,230,160,70,0.314,No,FALSE,No,,,Australia,2,0,,,,,,https://www.uhp.com.au/media/import/customerimages/BT98.png
Chuu Nutrition,BR07,CHUU NUTRITION Apple Cider Vinegar Gummies Sugar Free 60pcs,,"Maltitol, Erythritol, Apple Cider Vinegar Powder (Apple Cider Vinegar, Maltodextrin) 10%, Pectin, Acid Regulators (Sodium Citrate (331), Malic Acid (296), Citric Acid (330)), Natural Flavours, Tumeric",,Chuu Nutrition,9.37E+12,9.37E+12,,CHU01,Australia,New,B09RWT7823,X001B1MEG5,CHU01-UHP-FBA,FALSE,,,,,,Active,,,,31.03,26.95,15.31,10.33%,2.9061,31.03,39.9,6.78,Unique Health Products,DU04,,,,,125,66,66,0.21,No,FALSE,No,,,Australia,2,0,,,,,,https://www.uhp.com.au/media/import/customerimages/CHU01.png
